source_id,source_group,source_path,origin,category,original_bytes,log2_file_size,size_bucket,sha256,split
6978108206a27612ce02,real:apps\public_nextjs\.next\cache\webpack\client-development\0.pack.gz,C:\Users\ss\Desktop\XAI\XAI\apps\public_nextjs\.next\cache\webpack\client-development\0.pack.gz,real,archive,44289,15.434660802572452,16_64KiB,cc2aef25fa9e37c5f7f044e44c3641095ec047b811d4f0a7579af36f0a1c07d1,validation
6fcc7ac87cae61ab715f,real:.errorviz-version,C:\Users\ss\Desktop\XAI\XAI\.errorviz-version,real,binary,5,2.321928094887362,lt_16KiB,11ee23b8fc2fc619d6eab6277adb5a527261067ac01ccfc3e11857f55bf18bcd,train
7c58453d1513ac6333cf,real:engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\structured\table.csv,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_corpus_roundtrip0\corpus\structured\table.csv,real,csv,1808,10.820178962415188,lt_16KiB,99f1385ec90fe40152919abb2eb342aaf2c5889c4785e6c66c12a87a973b9ab3,train
6a1aee45c24f6acb7f0d,real:services\api_fastapi\xai_platform.db,C:\Users\ss\Desktop\XAI\XAI\services\api_fastapi\xai_platform.db,real,database,49152,15.584962500721156,16_64KiB,4fad391c10cbc5a6e974de155b73ba17e0e9b5381e7fc6979a7ff046605072a6,train
8199eebc4a37533cc78a,real:apps\admin_dotnet\bin\Debug\net8.0\AdminDotNet.dll,C:\Users\ss\Desktop\XAI\XAI\apps\admin_dotnet\bin\Debug\net8.0\AdminDotNet.dll,real,executable,73728,16.169925001442312,64KiB_1MiB,757d37bc9224142e98dca76705fc22431498b471141280a1ff2f31669fc81ac4,train
17ddcd4df70dd5adea02,real:apps\mobile_authenticator_flutter\build\reports\problems\problems-report.html,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\build\reports\problems\problems-report.html,real,html,147401,17.169386786455597,64KiB_1MiB,af4b3143addfc6d9098af0f0e0404a954bf4d6d80315b753107694e85fdd0e63,train
73756a33c5a1b9e66af6,real:apps\mobile_authenticator_flutter\android\app\src\main\res\mipmap-hdpi\ic_launcher.png,C:\Users\ss\Desktop\XAI\XAI\apps\mobile_authenticator_flutter\android\app\src\main\res\mipmap-hdpi\ic_launcher.png,real,image,544,9.087462841250339,lt_16KiB,6a7c8f0d703e3682108f9662f813302236240d3f8f638bb391e32bfb96055fef,train
d1d3fc44da656a953ace,real:.vscode\launch.json,C:\Users\ss\Desktop\XAI\XAI\.vscode\launch.json,real,json,1423,10.474719946526482,lt_16KiB,a25d64ff78e0a6504a5351b8c00942a39f2babdaa72335d06967bb06c50b9910,train
83006c8d53bccd432146,real:engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,C:\Users\ss\Desktop\XAI\XAI\engines\XAI-Compress\.test-tmp\final-all\test_package_filter_and_metada0\project\run.log,real,logs,14,3.807354922057604,lt_16KiB,1bce5d30039d918c8b574936c7d366d803d12d85a0f175c10be134c95ce22a12,test
95aeb892ab732e8f6b26,real:.github\agents\OX alpha.agent.md,C:\Users\ss\Desktop\XAI\XAI\.github\agents\OX alpha.agent.md,real,markdown,628,9.294620748891626,lt_16KiB,94707ae6f9c7612606a82044bf8872369ea07e373fa374d7b8a9461bd57715f0,train
